category,job_type,job_offer_id
hr jobs,"Permanent, full-time",646
catering jobs,"Permanent, full-time",647
factory jobs,"Permanent, full-time",648
motoring automotive jobs,"Permanent, full-time",649
catering jobs,"Permanent, full-time",650
catering jobs,"Permanent, full-time",651
catering jobs,"Temporary, full-time",652
catering jobs,"Permanent, full-time",653
motoring automotive jobs,"Permanent, full-time",654
factory jobs,"Permanent, full-time",655
motoring automotive jobs,"Permanent, full-time",656
hr jobs,"Contract, full-time",657
catering jobs,"Contract, full-time",658
law jobs,"Permanent, full-time",659
hr jobs,"Permanent, full-time",660
factory jobs,"Permanent, full-time",661
law jobs,"Permanent, full-time",662
catering jobs,"Contract, full-time",663
law jobs,"Contract, full-time",664
catering jobs,"Permanent, full-time",665
hr jobs,"Permanent, full-time",666
retail jobs,"Permanent, full-time",667
motoring automotive jobs,"Permanent, full-time",668
law jobs,"Permanent, full-time",669
factory jobs,"Temporary, full-time",670
law jobs,"Permanent, full-time",671
law jobs,"Permanent, full-time or part-time",672
catering jobs,"Permanent, full-time",673
catering jobs,"Permanent, full-time",674
motoring automotive jobs,"Permanent, full-time",675
motoring automotive jobs,"Permanent, full-time",676
retail jobs,"Permanent, full-time",677
catering jobs,"Permanent, full-time",678
marketing jobs,"Permanent, full-time",679
retail jobs,"Permanent, full-time",680
motoring automotive jobs,"Permanent, full-time",681
law jobs,"Permanent, full-time",682
factory jobs,"Permanent, full-time",683
motoring automotive jobs,"Permanent, full-time",684
factory jobs,"Permanent, full-time",685
factory jobs,"Permanent, full-time",686
catering jobs,"Permanent, full-time or part-time",687
law jobs,"Permanent, full-time",688
motoring automotive jobs,"Permanent, full-time",689
retail jobs,"Temporary, full-time",690
retail jobs,"Permanent, full-time",691
catering jobs,"Permanent, full-time",692
factory jobs,"Temporary, full-time",693
factory jobs,"Contract, full-time",694
factory jobs,"Permanent, full-time",695
law jobs,"Permanent, full-time",696
law jobs,"Permanent, full-time",697
factory jobs,"Permanent, full-time",698
factory jobs,"Permanent, full-time",699
retail jobs,"Permanent, full-time",700
motoring automotive jobs,"Permanent, full-time",701
factory jobs,"Permanent, full-time",702
retail jobs,"Permanent, part-time",703
retail jobs,"Temporary, full-time",704
factory jobs,"Temporary, full-time",705
retail jobs,"Permanent, full-time",706
catering jobs,"Temporary, full-time",707
hr jobs,"Permanent, full-time",708
retail jobs,"Permanent, full-time",709
retail jobs,"Permanent, full-time",710
catering jobs,"Temporary, full-time",711
catering jobs,"Temporary, full-time",712
law jobs,"Permanent, full-time",713
estate agent jobs,"Permanent, full-time",714
hr jobs,"Permanent, full-time",715
law jobs,"Permanent, full-time",716
law jobs,"Permanent, full-time",717
retail jobs,"Permanent, full-time",718
law jobs,"Permanent, full-time",719
law jobs,"Permanent, full-time",720
retail jobs,"Permanent, full-time",721
factory jobs,"Contract, full-time",722
retail jobs,"Permanent, full-time",723
law jobs,"Permanent, full-time",724
motoring automotive jobs,"Permanent, full-time",725
catering jobs,"Temporary, full-time",726
law jobs,"Permanent, full-time",727
factory jobs,"Permanent, full-time",728
catering jobs,"Temporary, full-time",729
law jobs,"Permanent, full-time",730
law jobs,"Permanent, full-time",731
catering jobs,"Temporary, part-time",732
marketing jobs,"Permanent, full-time",733
hr jobs,"Permanent, full-time",734
motoring automotive jobs,"Permanent, full-time",735
factory jobs,"Permanent, full-time",736
factory jobs,"Permanent, full-time",737
marketing jobs,"Permanent, full-time",738
factory jobs,"Permanent, full-time",739
retail jobs,"Permanent, part-time",740
hr jobs,"Temporary, full-time",741
catering jobs,"Contract, part-time",742
retail jobs,"Permanent, full-time",743
catering jobs,"Permanent, full-time",744
factory jobs,"Temporary, full-time",745
catering jobs,"Permanent, full-time",746
motoring automotive jobs,"Temporary, full-time",747
